age,GENDER,grade,race,parents,skl_gra,stayhome,friends,pregnant,gamble,clubs,sports,hrs_work,alc_30
17 years old,Male,Junior - 11th,Hispanic or Latino, ,9,9, ,9,9, , , ,9
18 years old or older,Male,Senior - 12th,Hispanic or Latino,My mother and my father,I don't know,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,No,Yes,21-25 hours,0 days
15 years old,Male,Sophomore - 10th,White,My mother and my father,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
16 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother and a step-parent,Mostly D's,0 days,1 or 2,No,I have never gambled,No,No,21-25 hours,0 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Female,Junior - 11th,Other,My mother and my father,Mostly B's,0 days,1 or 2,No,I have never gambled,Yes, , ,0 days
16 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother and a step-parent,Mostly B's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,Yes,Yes,None,0 days
15 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,1 or 2,No,I have never gambled,No,Yes,None,0 days
18 years old or older,Male,Junior - 11th,Hispanic or Latino,My mother only,Mostly C's,0 days,5 or more,No,I have never gambled,No,Yes,26-30 hours,0 days
17 years old,Male,Sophomore - 10th,Other,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,At least once per month,No,No,None,0 days
17 years old,Female,Sophomore - 10th,Hispanic or Latino,Foster parent(s),Mostly B's,0 days,1 or 2,No,I have never gambled,No,No,16-20 hours,0 days
16 years old,Female,Sophomore - 10th,White,"Another relative (like a grandparent, aunt/uncle)",Mostly C's,0 days,1 or 2,I have never had sexual intercourse,Daily,No,No,None,6 to 9 days
15 years old,Male,Freshman - 9th,Hispanic or Latino,My mother only,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
14 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,Yes,5 hours or less,0 days
15 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,I don't know,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
15 years old,Female,Freshman - 9th,Hispanic or Latino,My mother only,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
15 years old,Female,Freshman - 9th,Hispanic or Latino,My mother only,Mostly C's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,No,Yes,None,0 days
15 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly D's,0 days,3 or 4,No,I have never gambled,No,Yes,None,0 days
15 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,No, ,None,0 days
15 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,3 or 4,No,I have never gambled,No,Yes,None,0 days
15 years old,Female,Freshman - 9th,Hispanic or Latino,My father only,Mostly B's,1 day,1 or 2,No,I have never gambled,No,Yes, ,1 or 2 days
14 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
14 years old,Female,Freshman - 9th,Hispanic or Latino,My mother only,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Male,Freshman - 9th, ,My father and a step-parent, ,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Female,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
15 years old,Female,Freshman - 9th,Hispanic or Latino,My mother only,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,11-15 hours,3 to 5 days
15 years old,Male,Freshman - 9th,Black,My mother only,Mostly C's,0 days,3 or 4,No,I have never gambled,No,Yes,None,0 days
14 years old,Male,Freshman - 9th,White,My mother and my father,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
16 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and a step-parent,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,1 or 2 days
15 years old,Female,Freshman - 9th,Other,My mother and my father,Mostly A's,0 days,5 or more,No,I have never gambled,No,No,None,0 days
15 years old,Female,Freshman - 9th,Hispanic or Latino,My mother only,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
14 years old,Female,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly D's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
15 years old,Female,Freshman - 9th,Other,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
15 years old,Female,Freshman - 9th,White,My mother only,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly A's,1 day,3 or 4,I have never had sexual intercourse,At least once per month,No,No,None,0 days
16 years old,Male,Freshman - 9th,Hispanic or Latino,My mother only,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Female,Freshman - 9th,Black,My mother only,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
15 years old,Male,Freshman - 9th,White,My father only, ,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
15 years old,Male,Freshman - 9th,White,My mother only, ,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,No,Yes,None,0 days
14 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
16 years old,Male,Freshman - 9th,White,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled, ,Yes,None,0 days
14 years old,Female,Freshman - 9th,White,My mother and a step-parent,Mostly D's,4 or 5 days,3 or 4,No,I have never gambled,No,No,None,3 to 5 days
14 years old,Female,Freshman - 9th,White,My mother and a step-parent,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Male,Sophomore - 10th,Asian or other Pacific Islander,My mother and a step-parent,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
16 years old,Male,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
16 years old,Male,Junior - 11th,Black,My father and a step-parent,I don't know,0 days,5 or more,I don't know,At least once per month,No,No,None,6 to 9 days
18 years old or older,Male,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly E's or F's,0 days,3 or 4,No,Once or twice per year,No,No,More than 30 hours,10 to 19 days
16 years old,Female,Junior - 11th,White,"Another relative (like a grandparent, aunt/uncle)",Mostly B's,0 days,5 or more,Yes,I have never gambled,No,Yes,None,10 to 19 days
17 years old,Male,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly B's, , ,I have never had sexual intercourse,I have never gambled,No,No,26-30 hours,0 days
13 years old or younger,Male,Freshman - 9th,Hispanic or Latino,Someone else not on this list,Mostly B's,0 days,None, ,I have never gambled, ,Yes,6-10 hours,0 days
15 years old,Female,Sophomore - 10th,White,My mother only,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,6-10 hours,0 days
18 years old or older,Male,Senior - 12th,Black,My mother only,Mostly A's,0 days,1 or 2,No,I have never gambled,No,Yes,6-10 hours,0 days
17 years old,Female,Junior - 11th,Hispanic or Latino,My mother and a step-parent,Mostly B's,1 day,3 or 4,Yes,I have never gambled,No,No,None,0 days
17 years old,Male,Junior - 11th,Asian or other Pacific Islander,My mother and my father, ,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,No,No,6-10 hours,1 or 2 days
18 years old or older,Male,Sophomore - 10th,White,My mother and my father, ,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,6-10 hours,0 days
17 years old,Male,Senior - 12th,Other,My mother and my father,Mostly D's,2 or 3 days,1 or 2,No,I have never gambled,No,No,11-15 hours,0 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled, ,Yes,5 hours or less,0 days
17 years old,Female,Junior - 11th,Black,My mother only,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,6-10 hours,1 or 2 days
18 years old or older,Male,Senior - 12th,Other,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,16-20 hours,0 days
17 years old,Female,Senior - 12th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Female,Senior - 12th,White,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
16 years old,Female,Junior - 11th,Hispanic or Latino,My mother only,Mostly B's,0 days,5 or more, ,I have never gambled,No,No,None,0 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly C's,0 days,3 or 4,No,I have never gambled,No,No,None,6 to 9 days
17 years old,Female,Junior - 11th,Other,My mother and my father,Mostly D's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Male,Junior - 11th,Hispanic or Latino,My mother only,I don't know,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,5 hours or less,0 days
9,Female,Senior - 12th,Black, ,Mostly B's,9, ,I have never had sexual intercourse,9, , , ,0 days
18 years old or older,Male,Senior - 12th, ,Foster parent(s),Mostly B's,0 days,5 or more,I don't know,I have never gambled,No,No,11-15 hours,1 or 2 days
17 years old,Female,Senior - 12th,White,"Another relative (like a grandparent, aunt/uncle)",Mostly A's,0 days,1 or 2,No,I have never gambled,Yes,No,None,0 days
17 years old,Female,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly A's,0 days,5 or more,No,I have never gambled,Yes,Yes,None,0 days
18 years old or older,Female,Senior - 12th,Hispanic or Latino,My mother only,Mostly C's,0 days,1 or 2,No,I have never gambled,No,No,5 hours or less,3 to 5 days
18 years old or older,Female,Senior - 12th,White,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,1 or 2 days
18 years old or older,Female,Senior - 12th,Black,My mother only,Mostly B's,0 days,1 or 2,No,I have never gambled,Yes,Yes,None,1 or 2 days
18 years old or older,Male,Senior - 12th,White,My mother only,Mostly D's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,No, ,None,1 or 2 days
17 years old,Female,Senior - 12th,White,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse, ,Yes, , ,0 days
16 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,Yes,21-25 hours,0 days
18 years old or older,Female,Senior - 12th,Hispanic or Latino,My mother and a step-parent,Mostly B's,1 day,None,No,I have never gambled,No,Yes,More than 30 hours,0 days
16 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly A's,0 days,1 or 2,No,I have never gambled,No,Yes,None,0 days
15 years old,Female,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
16 years old,Male,Sophomore - 10th,Black,My mother only,Mostly D's,0 days,None,I have never had sexual intercourse,At least once per month,Yes,Yes,None,0 days
15 years old,Female,Freshman - 9th,Hispanic or Latino,My mother only,Mostly D's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
18 years old or older,Female,Senior - 12th,Other,My mother only,Mostly B's,0 days,3 or 4,No,I have never gambled,No,No,16-20 hours,1 or 2 days
16 years old,Male,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled, , ,None,0 days
16 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,16-20 hours,0 days
15 years old,Male,Sophomore - 10th,Other,My father only,Mostly B's,0 days,5 or more,No,I have never gambled,No,Yes,None,0 days
17 years old,Male, ,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,1 or 2,I don't know,I have never gambled,No,No,16-20 hours,1 or 2 days
17 years old,Male,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly D's,0 days,1 or 2,No,I have never gambled,No,Yes,6-10 hours,0 days
18 years old or older,Male,Senior - 12th,Black,My mother only,Mostly A's,1 day,5 or more,I have never had sexual intercourse,Daily,Yes,No,None,0 days
16 years old,Male,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,Yes,Yes,None,0 days
15 years old,Male,Sophomore - 10th,White,My mother and my father,Mostly B's,0 days,5 or more,No,Once or twice per year,Yes,Yes,None,1 or 2 days
16 years old,Female,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes, ,None,0 days
16 years old,Female,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,11-15 hours,0 days
17 years old,Female,Junior - 11th,Black,My mother and my father,Mostly A's,0 days,5 or more, , , , ,None,0 days
17 years old,Female,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,3 or 4,No,At least once per month,No,No,None,0 days
18 years old or older,Female,Other,White,My mother only,Mostly B's,0 days,None,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
14 years old,Male,Freshman - 9th,Black,My mother and my father,Mostly B's,0 days,None,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
18 years old or older,Male,Other,Black,My father only,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes, ,None,0 days
15 years old,Female,Freshman - 9th,White,My father only,Mostly B's,0 days,None,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
18 years old or older,Male,Senior - 12th,White,My mother and a step-parent,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
18 years old or older,Male,Senior - 12th,Black,My mother only,Mostly B's,1 day,5 or more,No,Once or twice per year,No,Yes,None,1 or 2 days
17 years old,Female,Senior - 12th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,None,I have never had sexual intercourse,Once or twice per year,Yes,Yes,6-10 hours,0 days
18 years old or older,Female,Senior - 12th,American Indian or Alaska Native,Someone else not on this list,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
18 years old or older,Female,Senior - 12th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,11-15 hours,0 days
16 years old,Female,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,16-20 hours,0 days
17 years old,Male,Junior - 11th,Asian or other Pacific Islander,My mother and my father,I don't know,0 days,3 or 4,No,At least once per month,Yes,Yes,6-10 hours,6 to 9 days
17 years old,Male,Junior - 11th,Asian or other Pacific Islander,My mother and my father,I don't know,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Female,Junior - 11th,Hispanic or Latino,My mother only,Mostly D's,6 or more days,1 or 2,No,I have never gambled,No,No,6-10 hours,3 to 5 days
16 years old,Female,Junior - 11th,White,My mother and my father,Mostly B's,0 days,1 or 2,No,I have never gambled,Yes,Yes,None,1 or 2 days
16 years old,Male,Junior - 11th,White,My mother and my father,Mostly C's,0 days,1 or 2,No,I have never gambled,Yes,Yes,None,0 days
16 years old,Female,Junior - 11th,Hispanic or Latino,My mother only,Mostly B's,0 days,1 or 2,No,I have never gambled,Yes,Yes,11-15 hours,0 days
17 years old,Female,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,16-20 hours,0 days
18 years old or older,Female,Junior - 11th,Other,My mother and my father,Mostly B's,0 days,5 or more,No,I have never gambled,No,No,None,3 to 5 days
18 years old or older,Female,Senior - 12th,White,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,No,No,16-20 hours,0 days
18 years old or older,Male,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly C's,0 days,3 or 4,No,I have never gambled,No,No,11-15 hours,3 to 5 days
16 years old,Female,Junior - 11th,White,My mother and a step-parent,Mostly B's,0 days,5 or more,No,I have never gambled,No,No,5 hours or less,0 days
16 years old,Female,Junior - 11th,Black,My mother only,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled, , ,None,0 days
18 years old or older,Male,Junior - 11th,White,My father and a step-parent,Mostly B's,2 or 3 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,6-10 hours,1 or 2 days
17 years old,Female,Junior - 11th,White,My mother and a step-parent,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,Yes,No,More than 30 hours,0 days
16 years old, ,Junior - 11th,White,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse, ,Yes,No,None,0 days
16 years old,Male,Junior - 11th,Hispanic or Latino,My mother and a step-parent,I don't know,0 days,5 or more,No,I have never gambled,No,No,21-25 hours,0 days
17 years old,Male,Junior - 11th,White,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
15 years old,Female,Sophomore - 10th, ,My mother and my father,Mostly A's,0 days,None,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
15 years old,Male,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
16 years old,Male,Junior - 11th,White,My mother and my father,Mostly A's,0 days,5 or more,No,I have never gambled,Yes,No,None,0 days
16 years old,Male,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
18 years old or older,3,Senior - 12th,Black,Foster parent(s),Mostly B's,0 days,3 or 4,No,At least once per month,Yes,No,26-30 hours,10 to 19 days
18 years old or older,Male,Senior - 12th,White,My mother and my father,Mostly A's,0 days,1 or 2,No,I have never gambled,No,Yes,None,0 days
16 years old,Male,Junior - 11th,Asian or other Pacific Islander,My mother only,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,Once or twice per year,Yes,No,None,0 days
16 years old,Female,Sophomore - 10th,Other,My mother and my father,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
16 years old,Female,Junior - 11th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Female,Senior - 12th,Other,My father only,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,Yes,Yes,None,0 days
16 years old,Female,Sophomore - 10th,White,My mother only,I don't know,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Female,Junior - 11th,Black,"Another relative (like a grandparent, aunt/uncle)",Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,5 hours or less,0 days
17 years old,Male,Junior - 11th,White,My mother and my father,Mostly A's,0 days,3 or 4,No,Once or twice per year,No,Yes,None,0 days
16 years old,Male,Sophomore - 10th,Black,"Another relative (like a grandparent, aunt/uncle)",Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,5 hours or less,0 days
17 years old,Female,Junior - 11th,Black,My father and a step-parent,Mostly D's,2 or 3 days,3 or 4,No,I have never gambled,No,No,None,0 days
17 years old,Male,Junior - 11th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,16-20 hours,0 days
18 years old or older,Female,Senior - 12th,Other,My father only,Mostly C's,0 days,1 or 2,No,I have never gambled,No,No,11-15 hours,1 or 2 days
16 years old,Female,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
16 years old,Female,Junior - 11th,White,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
16 years old,Male,Junior - 11th,Hispanic or Latino,My father only,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Male,Junior - 11th,White,My mother and my father,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
16 years old,Female,Junior - 11th,White,My mother and my father,Mostly C's,2 or 3 days,3 or 4,No,I have never gambled,No,No,16-20 hours,1 or 2 days
18 years old or older,Female,Senior - 12th,Black,My mother only,Mostly D's,0 days,1 or 2,No,I have never gambled,No,No,21-25 hours,0 days
18 years old or older,Male,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly C's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,Yes,No,None,0 days
17 years old,Male,Junior - 11th,Black,My mother and my father,Mostly D's,0 days,None,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
18 years old or older,Male,Senior - 12th,American Indian or Alaska Native,My mother and a step-parent,Mostly D's,0 days,1 or 2,Yes,At least once per month,No,Yes,5 hours or less,1 or 2 days
17 years old,Male,Junior - 11th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,No,No,None,3 to 5 days
18 years old or older,Male,Junior - 11th,Hispanic or Latino,My mother only,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,More than 30 hours,0 days
17 years old,Male,Junior - 11th,Hispanic or Latino,My mother only,Mostly C's,0 days,5 or more,I don't know,Once or twice per year,No,Yes,More than 30 hours,0 days
16 years old,Female,Junior - 11th,Black,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Male,Junior - 11th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,1 or 2, ,I have never gambled,No,No,None,0 days
17 years old,Female,Junior - 11th,Other,My mother and my father,Mostly B's,2 or 3 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
16 years old,Male, ,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,21-25 hours,0 days
16 years old,Male,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,None,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
16 years old,Female,Junior - 11th,White,My mother and my father,Mostly B's,0 days,1 or 2,No,I have never gambled,No,No,None,0 days
18 years old or older,Female,Senior - 12th,Hispanic or Latino,My mother and my father,I don't know,0 days,5 or more,No,I have never gambled,Yes,Yes,11-15 hours,1 or 2 days
18 years old or older,Female,Senior - 12th,Hispanic or Latino,Someone else not on this list,Mostly C's,0 days,5 or more,No,At least once per month,No,No,21-25 hours,3 to 5 days
